# LAMMPS data file written by OVITO Pro 3.15.4

2669 atoms
498 bonds
1 atom types
10 bond types

20.0 0.0 0.0 avec
0.0 20.0 0.0 bvec
0.0 0.0 60.0 cvec
0.0 0.0 0.0 abc origin

Atoms  # sphere

167 1 1.0 0.0 13.3517 16.7358 0.499946 0 0 0
97 1 1.0 0.0 14.5114 16.7187 0.4999 0 0 0
74 1 1.0 0.0 15.4486 17.0681 0.499995 0 0 0
537 1 1.0 0.0 18.043 16.8597 0.499955 0 0 0
188 1 1.0 0.0 19.0102 16.6054 0.499985 0 0 0
756 1 1.0 0.0 0.232691 17.1709 0.499992 0 0 0
763 1 1.0 0.0 3.07637 17.2154 0.499969 0 0 0
347 1 1.0 0.0 3.87178 17.8397 0.49998 0 0 0
223 1 1.0 0.0 6.75261 17.5318 0.499994 0 0 0
649 1 1.0 0.0 9.13466 17.5757 0.499995 0 0 0
20 1 1.0 0.0 10.13 17.7934 0.499919 0 0 0
149 1 1.0 0.0 12.2183 17.4647 0.499984 0 0 0
152 1 1.0 0.0 13.5414 17.7185 0.49999 0 0 0
36 1 1.0 0.0 16.8592 17.273 0.499965 0 0 0
853 1 1.0 0.0 19.4687 17.8161 0.499957 0 0 0
550 1 1.0 0.0 0.922274 18.026 0.499953 0 0 0
5 1 1.0 0.0 1.94897 17.9742 0.499995 0 0 0
215 1 1.0 0.0 2.94144 18.2064 0.499975 0 0 0
143 1 1.0 0.0 5.73071 17.8664 0.499912 0 0 0
430 1 1.0 0.0 6.50404 18.5004 0.500026 0 0 0
296 1 1.0 0.0 8.12195 18.0103 0.499957 0 0 0
617 1 1.0 0.0 11.3428 18.0092 0.499936 0 0 0
271 1 1.0 0.0 15.0534 17.9894 0.499995 0 0 0
468 1 1.0 0.0 16.1877 18.0204 0.499995 0 0 0
362 1 1.0 0.0 17.3187 18.1611 0.499957 0 0 0
322 1 1.0 0.0 18.6822 18.4346 0.5 0 0 0
497 1 1.0 0.0 0.0713406 18.7277 0.500054 1 0 0
626 1 1.0 0.0 1.25587 19.0656 0.500383 0 0 0
157 1 1.0 0.0 3.42967 19.0791 0.499976 0 0 0
182 1 1.0 0.0 4.40099 18.7703 0.499988 0 0 0
257 1 1.0 0.0 7.38069 18.9814 0.499933 0 0 0
294 1 1.0 0.0 8.44171 18.9578 0.500027 0 0 0
133 1 1.0 0.0 9.5102 18.5786 0.49996 0 0 0
259 1 1.0 0.0 10.5983 18.6769 0.499965 0 0 0
273 1 1.0 0.0 11.9241 18.8247 0.499968 0 0 0
602 1 1.0 0.0 13.5513 18.7185 0.499952 0 0 0
221 1 1.0 0.0 14.5423 18.8517 0.499947 0 0 0
202 1 1.0 0.0 15.6038 19.06 0.499936 0 0 0
638 1 1.0 0.0 16.6887 18.9377 0.499991 0 0 0
1263 1 1.0 0.0 0.425145 19.6644 0.499994 0 0 0
11 1 1.0 0.0 1.66293 19.9827 0.499974 0 -1 0
390 1 1.0 0.0 2.48951 19.4199 0.499975 0 0 0
70 1 1.0 0.0 4.16118 19.7609 0.499887 0 0 0
